"Consumido";"Concedido(Risc)";"Diferencia";"Forma de plazo (en dies)";"Fp. Real";"Morós"
124,83;0;124,83;0;9;0
230,11;0;230,11;0;184;0
311,19;2500;-2188,81;30;48;0
272,72;6000;-5727,28;75;111;0
283;3000;-2717;75;98;0
1098,71;6000;-4901,29;85;56;0
923,55;2000;-1076,45;60;68;1
2715,98;0;2715,98;50;123;0
322;12000;"-11.678,00";35;38;0
74696,96;120000;-45303,04;135;130;1
47461,18;10000;37461,18;0;46;0
682,08;0;682,08;0;3;0
147,34;1000;-852,66;30;45;0
0,84;0;0,84;0;0;0
132,21;1500;-1367,79;50;88;0
55,96;6000;-5944,04;100;124;0
35952,36;0;35952,36;0;0;1
157,41;1000;-842,59;0;24;0
55437,9;6000;49437,9;30;66;0
-13,24;6000;-6013,24;30;60;0
1130,83;5000;-3869,17;90;103;0
4734,28;10000;-5265,72;60;67;0
37,43;0;37,43;0;39;0
1491,48;3000;-1508,52;60;67;0
2711,09;3000;-288,91;90;88;0
606,76;3000;-2393,24;60;111;0
4781,06;25000;-20218,94;75;105;1
1941,18;35000;-33058,82;60;98;0
-58,3;4000;-4058,3;30;71;0
17537,79;0;17537,79;60;35;1
3373,97;18000;-14626,03;95;128;0
-259,36;3000;-3259,36;105;118;0
8568,87;0;8568,87;0;389;0
759,44;3000;-2240,56;30;19;0
1896,94;6000;-4103,06;95;142;0
1698;19000;-17302;120;94;0
1402,68;5000;-3597,32;60;71;0
1880,05;6000;-4119,95;80;91;1
821,99;7000;-6178,01;55;68;0
735,18;3000;-2264,82;80;97;0
1425,63;5000;-3574,37;90;65;0
662,48;0;662,48;0;12;1
282,16;8000;-7717,84;55;54;0
317,98;6000;-5682,02;100;141;0
1279,27;3000;-1720,73;30;76;0
2911,66;15000;-12088,34;65;66;0
208,47;2000;-1791,53;30;90;0
14,34;3000;-2985,66;45;46;0
2087,29;0;2087,29;0;114;0
450,36;6000;-5549,64;0;115;0
1282,09;0;1282,09;0;12;0
23,92;0;23,92;55;41;0
14561,36;20000;-5438,64;30;57;1
1311,04;3000;-1688,96;75;94;0
175,06;6000;-5824,94;120;94;0
447,78;3000;-2552,22;75;105;0
1598,58;3000;-1401,42;80;88;0
362,85;5000;-4637,15;0;42;0
352,78;3000;-2647,22;30;72;0
1490,93;10000;-8509,07;37;62;0
1060,83;6000;-4939,17;40;76;0
13,57;2000;-1986,43;60;93;0
230,96;2000;-1769,04;72;111;0
14808,55;42000;-27191,45;60;39;0
389,88;0;389,88;0;;0
63060,4;6000;57060,4;100;90;0
1716,34;50000;-48283,66;60;77;0
800,39;3000;-2199,61;45;187;0
1352,48;0;1352,48;30;100;0
818,95;5000;-4181,05;105;137;0
23828,07;70000;-46171,93;70;94;0
305,91;3000;-2694,09;40;50;0
3800,15;15000;-11199,85;70;105;0
0,06;5000;-4999,94;89;101;1
143,99;3000;-2856,01;30;70;0
1706,16;3500;-1793,84;90;80;0
333,59;0;333,59;0;;0
75,76;0;75,76;0;;0
358,91;0;358,91;0;-14;0
0;3000;-3000;30;120;0
3165,87;4000;-834,13;60;108;1
118,7;1000;-881,3;50;78;0
2299,97;7000;-4700,03;0;87;1
8411,75;2000;6411,75;60;-197;0
668,1;100000;-99331,9;65;84;0
1022,66;6000;-4977,34;0;53;0
0;2000;-2000;50;74;0
50475,8;30000;20475,8;80;130;0
16071,17;3500;12571,17;90;117;0
1649,74;2000;-350,26;90;91;0
105,84;3000;-2894,16;60;87;0
4399,72;3000;1399,72;30;40;0
83,91;6000;-5916,09;0;81;0
2099,02;10000;-7900,98;80;98;0
10357,69;18000;-7642,31;0;75;0
1379,37;0;1379,37;0;45;0
283,53;3000;-2716,47;30;68;0
44,84;6000;-5955,16;0;18;0
193,36;0;193,36;30;;0
1111,88;25000;-23888,12;60;55;0
303,12;3000;-2696,88;0;75;0
195,6;3000;-2804,4;40;104;0
164,74;6000;-5835,26;120;99;0
7034,24;10000;-2965,76;40;89;0
933,78;6000;-5066,22;70;119;0
2734,42;5000;-2265,58;60;87;0
0;2000;-2000;0;;0
226,87;0;226,87;30;107;0
424,91;2000;-1575,09;0;0;0
3712,49;25000;-21287,51;115;124;0
0;0;0;0;78;0
1018,36;0;1018,36;10;104;0
7594,88;15000;-7405,12;75;80;0
641,63;12000;-11358,37;60;10;0
16834,64;80000;-63165,36;70;87;0
2339,81;0;2339,81;0;16;0
547,46;40000;-39452,54;40;58;0
2334,29;3000;-665,71;0;58;0
25796,14;5000;20796,14;60;97;1
15278,93;10000;5278,93;90;96;0
